cement_kg_m3,blast_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,coarse_agg_kg_m3,fine_agg_kg_m3,age_days,strength_mpa
153.4,0,0,162.6,0.13,868.6,630.5,28,20.39
354.2,111.2,0,187.8,1.97,1045.1,665.5,1,36.32
266.9,0,196.7,183.5,3.47,842,753.6,28,65.5
521.7,0,105.5,179,9.8,1034.2,861.1,90,89.88
149.6,72.4,22.5,176.7,8.35,910.8,817.3,3,20.26
158,89.6,8.2,160.5,18.24,925.5,959.6,365,47.52
143.7,0,0,153,1.03,1133.1,865,28,20.8
243.6,0,0,149.1,1.53,1008.9,722.7,14,40.68
360.8,199.8,0,169.7,31.88,835.1,748.7,28,95
464,65.7,199.5,154.9,11.08,976,962.8,365,95
160.6,0,41.6,168.1,23.96,874.4,827.9,28,37.46
218.8,196.3,102.3,162.1,30.95,1120.5,866.5,365,95
525.4,63.9,0,150.2,27.32,835.4,846.9,3,73.34
435.3,37.6,0,173.7,19.15,1046.9,950.7,28,91.65
398.7,135.4,0,218.3,5.73,930.5,901.4,28,64.44
266.7,0,176.6,184.9,31.68,834.4,920.2,7,65.03
441.7,3.2,113.2,153.7,17.61,801.6,682.4,3,58.57
170,156.1,0,130.8,29.55,1113.6,663.2,14,75.04
383.9,0,23.3,239.4,7.5,839.8,886.3,1,26.56
224.4,158.7,0,198.8,31.27,1021.2,744,28,64.13
522.2,105.9,11.1,146.6,29.78,938.6,872.7,90,95
492.7,0,40.3,138.5,30.06,813.2,608.2,28,95
207.9,77.8,0,227.2,16.76,1137.8,774.7,28,37.4
389.4,21.5,46,154.4,0.94,1106.1,610.2,28,68.68
201.9,159.5,0,227.3,7.65,1029.2,956.3,365,47.51
319,91.4,0,145.4,16.47,909.2,618.8,28,79.34
232.9,0,101.3,210.1,13.12,1021.1,692.6,3,27.29
237.9,0,0,176.7,23.31,1052.2,923.2,28,46.76
440.4,198,140.3,152.4,8.84,940.3,936.6,3,67.01
149.3,0,0,148.7,12.58,1101,739.9,7,22.45
148.5,0.2,165.8,187.2,15.09,937,987.5,14,44
218.5,0,0,233.8,23.89,1052.9,740.7,28,20.92
487.4,0,0,178.6,10.1,843.6,863.3,90,78.64
443,0,0,200.7,30.39,870.7,847.9,3,54.49
384.4,176.6,27.1,143.3,24.64,1077,975.3,28,95
278.5,179.5,197.4,154.3,1.16,1000.2,878.5,56,90.44
254,118.6,1.9,220,31.34,892.8,904.5,28,57.79
200.1,195.6,163.7,137.9,5.39,852.2,804.2,1,40.02
364,76.4,0,201.2,18.96,814.4,914.5,180,66.63
221.1,141.7,160.4,178.8,30.83,935,750.4,180,84.03
447.7,50.4,0,193.6,11.48,1062.6,937.1,180,76.56
444.7,51.3,8.3,213.6,28.4,1078.5,961,1,50.39
290.3,50.4,0,163.9,24.85,955.5,847.7,28,72.71
333,0,0,194.1,27.44,1008.1,864.5,90,60.71
403.1,0,180.4,210.7,29.36,886.3,627.1,56,86.72
225.2,0,192.5,225.3,28.12,1124.7,904.3,365,67.79
434.7,169.4,0,172.1,29.23,985,740.5,28,95
452.3,0,0,153.7,27.06,800.3,881.6,28,95
509.1,0,0,214.4,11.15,946.5,679.7,180,73.74
460.6,129.7,103.1,178.9,9.63,1085.2,974.7,56,95
312.6,127.9,182.2,211.1,25.85,849.2,895.2,7,71.99
310.1,24.8,195.4,233,14.59,911.6,955.6,28,74.01
530.4,179.9,0,170.8,25.93,1051.6,974.8,14,95
233.7,0,0,173.3,4.71,910.1,987.7,180,34.04
375,0,0,214.5,9.85,896.9,968.8,56,50.76
272.4,80.3,185.1,220.1,25.25,867.6,971,56,79.13
273.3,46.5,0,187.8,9.59,996.2,799.9,28,55.5
342.1,199.6,69,149.7,21.06,1101.9,941.8,180,95
216.4,173,182.2,132,2.25,916.8,688.1,3,51.71
467.5,19.6,0,232.4,10.76,810,704.8,28,65.92
266.4,48.4,0,161.3,13.33,914.2,814.9,180,51.57
304.9,114.9,0,194.1,8.76,956,792.6,28,59.94
261,0,0,161,12.48,967.4,869.8,180,48.25
191.3,14.8,0,173.4,29.68,1063.4,958.7,365,42.74
423.2,196.3,44.4,162,15.05,954.8,880,90,95
143.6,0,8.7,221.4,11.16,1111.6,669.2,1,3.96
272.3,94.9,76.7,150.6,15.29,1120.3,847.3,28,90.99
472.3,0,0,201,13.64,1100.4,965.1,90,80.18
456.1,0,161.5,236.3,15.1,969.5,914.9,28,75.91
143.8,182.7,0,209.2,10.85,1021.8,798.3,14,33
321.7,131,0,201.9,15.26,1121.4,603.6,28,61.98
510.2,105.6,0,188.8,28.89,1055.4,666.9,14,93.08
503.7,0,144.5,171.2,2.07,1104.5,873.4,90,89.1
398.8,0,0,139.9,15.84,880.7,939.4,28,89.07
519.2,0,76.5,154.8,3.26,882.2,730.1,28,84.88
187.7,0,0,156.7,12.79,817.9,843.9,28,35.36
497,0,144.5,174.9,8.64,1041.5,636.9,28,93.6
472.3,0,197.6,213.3,0.19,1000.5,974.9,3,49.31
143.4,0,0,149,6.28,828.5,719.7,3,7.51
350.9,0,0,139.7,31.9,962.8,881.5,56,95
328.7,182.5,35.7,178.2,23.79,1121,955.1,28,90.59
210.8,162.3,103.3,154.1,8.58,911.5,926.9,7,49.87
315.7,193.3,25.3,190.1,23.67,925.1,807.8,180,86.23
152.1,0,0,162.8,1.77,858,626,14,13.59
220.4,16.1,97.9,201.2,11.39,1084.3,917.2,7,29.11
197.6,0,166.2,152.2,3.24,1083.8,691.3,180,68.48
517.4,97.5,99,136.9,4.06,831.2,676.1,28,93.86
147.2,0,4.6,233.6,19.41,931.9,594.7,365,3.83
435.6,0,0,144.6,0.51,853.8,670.6,90,74.97
349.8,34.4,0,194.3,17.61,929.4,654.1,28,59.39
449,183.7,0,145,8.84,1064.4,867.1,180,95
526,91.8,146.2,205.2,20.94,975.3,726.9,3,69.5
418.8,155.5,6.7,148.5,7.43,874.2,979,180,93.39
251.7,188.1,0,163.7,28.69,1135.7,897.2,28,86.03
415.2,0,0,212.7,8.4,1130.6,746.7,90,52.86
227.8,31.9,0,148.1,15.21,994.3,626.9,7,43.81
448,0,0,207.4,2.05,958.2,850.8,1,29.95
305,34.7,150,149.6,21.59,1027.5,765.6,180,94.21
250.1,0,0,148.4,21.98,867.4,825.8,28,56.84
227.4,159.7,0,146.3,13.16,951.6,628.8,14,67.12
405.9,55.4,0,218.6,10.79,1096.4,985.3,28,64.63
309,0,0,161.7,22.61,1051.7,988.8,365,66.79
238.8,0,128.6,208,7.21,973.1,741.8,1,29.04
294.9,0,0,138.4,1.07,908,612.8,14,45.53
518.2,0,0,149.4,23.47,1001.7,863,180,95
440.6,0,92,181,27.67,1137.4,870.3,56,95
528.3,120,102.5,140.2,14.12,927.9,749.1,56,95
345.2,34.1,0,198.6,11.32,976.6,654,14,53.37
356.6,157.9,0,172.9,19.16,810.7,741.2,28,83.68
241.7,13.7,0,130.3,2.36,1028.3,966,14,48.63
470.8,177.6,185.3,189.8,10.75,1000.6,979.3,3,62.21
191.9,138.4,0,237,17.62,887.6,810.5,365,42.73
378,153.3,0,199.5,16.73,937.3,767.9,28,82.17
331.1,83.5,95.6,238.8,27.06,809.5,606.8,180,64.87
445.3,55.6,118.5,198.2,27.03,942.6,934.2,56,95
161.3,142.9,188.4,206.6,1.19,1128.6,651,56,57.41
449,138.1,0,140.1,25.88,835.8,879.9,3,78.05
467.3,0,0,232.6,21.87,869.8,813.6,28,67.06
477.4,0,0,170.8,4.83,817.1,823.8,28,69.3
328.6,0,57.1,190.1,23.68,1005.3,980.6,28,75.7
502.8,93.1,59.1,150.4,7.04,899.7,592.6,365,90.46
236.2,0,0,136.2,13.93,831,809.4,365,48.48
352.9,150.6,0,202,17.76,913.4,598.2,7,49.14
160.8,21.5,0,154.7,18.42,1000.9,652.7,28,30.72
276.7,0,89,206.7,3.75,1106.1,951.1,28,49.38
286.6,0,0,195.4,5.82,1107.2,608.9,180,42.44
515.8,193,0,137.4,17.15,1104.9,742.6,7,89.35
374.4,0,0,137.2,21.88,1059.1,829,3,62.58
532.2,102.1,83.2,154.4,8.25,968.4,802.9,7,75.9
143.8,190.2,0,235.6,12.01,1025.1,748,180,27.77
364.9,77.2,0,195.3,22.08,962.6,937.5,3,45.92
445.1,0,126.4,219.2,6.48,1022.9,888.3,1,35.5
500,15.6,181.8,165.5,10.26,1006.9,764.6,28,95
377.9,0,0,165.3,11.68,840.3,877.5,1,36.6
223.3,0,0,220.4,31.2,879.9,829.8,7,17.57
327.8,0,0,195.9,3.15,811.3,762.1,7,33.41
185.5,0,0,199.8,13.9,1047.3,669.2,180,16.61
191.5,81,96.9,173.2,18.82,1101.5,777.9,28,61.29
459.7,0,0,184.9,8.47,1073.8,872.4,90,72.16
323.7,0,176,231.5,7.69,1024.5,789.9,90,62.29
143.1,0,0,232.7,15,1067.2,918.2,180,6.26
375,59.1,0,155.6,14.27,1138.4,829.6,28,83.87
339.9,40.4,111.7,161.2,20.92,1036.4,745.1,365,93.51
533.4,153.5,0,160.9,26.87,1111.1,784.1,28,95
395,125.2,60.6,133.2,2.64,948.8,879.7,28,92.2
400.8,75.4,135.2,147.4,19.47,1075.6,968.8,7,90.22
196.6,0,122.8,131.2,1.37,1136.3,738.4,28,67.18
381.1,0,128.4,237.9,0.72,943.3,945.1,180,53.8
192.6,0,0,142.7,21.94,1058.4,775.9,90,50.92
479.6,0,115.8,166.4,12.93,966.3,932.7,1,46.48
239.9,0,0,223.8,2.26,810.9,831.3,28,28.19
463.4,25.1,52.6,180.9,28.66,1133,639.2,7,74.96
222.3,33.7,0,215.7,15.82,1056.3,595.5,28,31.82
176.1,0,60.8,239.6,2.57,821.1,823.6,28,17.45
396.3,0,0,223,15.7,933.9,779.1,90,53.05
296.3,0,0,216,23.08,919.4,769.5,28,49.84
240.1,0,0,231.5,15.91,800.4,959.8,3,18.78
244.1,0,0,233.1,31.27,913,804.8,365,37.67
194.4,0,0,229,8.03,964.3,690.5,28,19.9
369.3,117.5,46.1,170.4,21.93,1132.5,660.8,1,51.87
272.9,171.1,0,173,0.5,1053.4,691.2,28,64.38
468.4,110.8,24.7,224.5,15.17,1096.4,918.6,28,82.06
194.7,125.7,140.1,223.2,31.05,1010.5,633.6,90,66
153.3,0,0,189.9,7.12,1085.3,933.8,7,8.5
357.1,69.6,0,229.2,14.94,851.7,967,1,29.11
443.1,0,157.3,230.4,22.5,975.4,642.3,90,82.42
428,0,16.9,145.6,30.57,976.6,708.9,56,95
286.4,122.3,0,195.2,16.63,1007.5,874.9,365,66.82
461,0,0,165.4,18.35,1007.5,929.5,1,39.35
519.2,15.2,126.5,168.6,27.61,840.6,775.1,14,93.1
479,19.4,0,173.3,10.94,877.5,804.9,1,42.67
436.5,0,0,187.8,13.86,891,842.7,28,70.08
213.5,113.7,0,229,4.82,1029.7,931.8,1,25.46
192.8,117.7,0,139.6,28.96,912,593.9,56,70.31
173.5,160.1,46.9,210.9,6.1,825.4,840.5,28,46.44
301.4,188.5,0,152.4,29.35,1096.2,918.2,56,95
532.6,151.5,74.9,132.8,24.08,946.6,748.2,14,95
307.9,0,0,215.4,23.37,1135.1,594.9,365,48.66
502.9,13.9,113.1,145.8,21.11,1009.7,939,56,95
302.2,63,0,151.6,21.2,933.4,881.5,28,79.23
285.6,0,0,236.4,16.32,1057.2,668,90,36.47
228.4,0,111.6,144.6,1.94,911.9,750,365,59.35
490.1,0,0,233,4.45,814.5,733.4,28,56.11
465.2,0,128.8,187.5,5.24,1118.4,831,28,80.01
333.3,56.3,0,142.8,4.46,818.4,851.2,1,32.95
482,0,0,212.9,2.96,818.3,980.5,7,52.38
186.3,19.8,45.5,144.4,21.18,1066.2,662.7,365,55.15
312.9,165.7,121.1,215.3,0.86,1042.3,952.3,14,62.8
514.5,0,0,201.1,0.69,926.3,650.8,90,68.59
168.2,1.3,0,227.6,10.6,985.1,988.8,28,17.52
167.3,0,152.4,151.6,8.35,859.1,641.4,28,55.58
481.4,0,0,156.6,11.67,925.7,804.3,14,80.18
300.1,175.5,0,175,25.97,905.1,772.2,7,65.72
410.9,0,101.4,211.3,14,813.6,685.2,3,49.18
272.8,60,0,236.6,27.02,1095.2,679.5,28,49.59
431.5,0,173.9,213.3,22.17,1026.8,797.5,14,83.11
257.9,66.2,0,238.2,13.65,1103.6,593.1,7,34.65
160.7,91.7,0,204.1,1.57,892.9,769.1,1,13.91
315.1,150.8,0,185.8,21.94,986.6,890.3,28,72.66
286.7,93.5,0,230.9,27.07,1071.3,813,28,52.7
149.3,56.8,0,220.3,0.64,1060.4,772.2,180,12.65
295.2,4,56.9,204.6,30.56,901.9,692,3,42.11
176.2,0,0,233.8,10.24,902.4,879.5,14,13.23
314.7,1.2,0,134,23.63,1106.1,810.5,28,82.93
521,128.5,0,201.8,27.21,1132.8,878.2,28,95
423.5,177.8,135.7,239.8,4.39,818.8,598.4,28,66.71
284.1,172.8,101.7,225.4,7.83,1078.3,989.4,28,65.61
504.3,0,0,134.5,6.84,1070.4,761.8,1,42.28
492.5,39.5,30.5,232.5,12.46,816.2,753.6,7,54.35
144.4,30.8,136.5,226.5,10.21,1058.6,961.8,3,27.27
209.5,0,0,193.2,18.37,930.2,874.4,14,42.15
308.1,0,72.6,166.3,28.13,848,931.9,14,78.08
235.8,88.7,0,215.9,14.29,994,633.3,1,19.64
141.5,191,0,211.9,7.73,896,673.3,7,27.58
302,84.9,0,212.7,3.44,848.9,939.2,28,42.15
400.7,0,0,162.9,24.06,947.5,833.3,56,89.47
271.4,0,0,145.9,27.9,881.9,679,7,51.5
236.2,0,157.6,204.2,30.75,1121.8,901.3,7,56.9
384.4,0,110.4,162.2,26.37,1052.1,874.7,3,62.75
348.3,1.7,0,224.2,19.9,943.7,693.9,90,53.5
396.5,0,0,157.6,4.55,1060,816,90,75.44
436.1,0,0,180.9,22.95,960.5,881.3,56,81.64
299.6,29,0,185.4,18.15,874.7,786.5,1,23.45
482.3,0,0,137.9,23.73,894.5,645.6,28,95
216.8,175.8,47.9,198.6,23.13,961,872.5,1,35.29
277,0,86.9,222.6,14.79,1057.2,734.4,28,46.57
410,0,5.8,206.2,3.63,900.2,671.7,28,61.5
288.5,184,164.4,229,0.21,920,652.1,365,61.42
342.9,0,0,170.9,8.48,946.3,638.6,28,56.06
340.9,143.1,40.3,165.3,15.77,1064.6,685,14,82.19
143.8,46.9,0,210.3,8.38,871.3,938.4,180,15.09
176.5,113,0,217.9,11.05,840.1,670.2,365,32.39
188.1,77.1,0,211.7,12.74,982.6,807.8,180,29.95
192.2,0,0,130.4,20.78,1067.6,591.8,28,46.17
486.1,0,158.4,170,7.7,964.2,925.5,28,91.29
252.9,23.2,0,204.4,10.77,914.3,948.8,90,39.79
272.6,0,184.5,135,9.14,1101.3,922.2,28,88.58
234.4,99.5,97,180.9,29.07,853.8,738.7,180,74.79
265.3,46.9,166.4,231.3,1.38,823.1,917.9,56,47.5
360.4,0,0,172.7,29.08,825.1,877.8,14,70.35
468.1,44.8,28,216.1,30.82,1130.2,841,28,94.77
371.2,0,161.7,174.1,14.36,1132.1,890.6,1,48.39
520.7,145.3,0,231.4,13.68,1133.3,709,14,71.55
169.4,0,0,225.7,13.65,867.2,782.8,28,16.57
174.1,108.8,71.2,170.2,3.27,898,816.9,90,42.19
169,166.2,0,179,6.62,918.1,949.3,28,50.77
222.8,165.1,0,139.7,13.97,1103,962.8,7,64.38
539.4,0,151.9,186.5,2.48,1094.2,844.4,180,81.82
336.2,18.2,0,140.9,17.19,1131.6,785.9,28,81.74
295.9,0,0,223,3.97,965.4,816.8,28,36.18
390.1,130.3,0,239.9,0.4,1090.2,979.4,28,61.9
166.8,0,0,180.2,21.32,943.9,699,180,17.76
194.6,0,151.1,159.1,28.65,1056.4,709.2,3,44.01
325.8,0,0,181.6,26.02,827.5,888.7,14,61.75
334.4,0,3,187.2,24.3,980.4,652.2,14,54.96
320.8,0,0,158.2,23.54,1079,772.5,180,75.21
509,115.5,77.3,204.9,11.6,1132.6,937.2,365,95
364.2,0,6.6,138.3,11.31,998.5,947.3,90,83.32
293.9,49.6,137.8,207,14.28,1023.4,845.7,365,71.64
498.7,0,0,133.6,6.41,1136.3,849.5,3,59.04
417,115.5,70.9,142.3,22.96,833.2,983.6,365,95
363.6,1.5,0,210.7,27.33,912.1,985,7,52.87
513.6,0,56.7,204.2,16.49,920.6,875.8,90,80.79
521.5,192.9,0,174.8,15.28,867.6,835.3,56,95
242.4,190.6,0,192.1,30.69,961,858.6,14,67.36
491.2,0,163.3,158.9,19.61,953.5,920.1,56,95
530.2,0,0,168.8,18.82,908.4,905.8,14,83.55
420.5,0,0,177.1,3.03,1023.2,795.1,3,40.89
229,0,0,197.2,4.79,1018.7,948.9,365,35.48
396.4,3.5,0,210.3,21.2,952.8,660.9,28,68.12
237.1,104.7,103.6,223.2,24.61,833.4,715.9,28,53.91
533.4,138,75.5,224.9,5.3,896.1,904,28,76.87
258.8,33.1,15.5,207.2,5.98,921.1,793,14,38.75
409.2,172.6,32.1,186.2,19.72,940.8,843,365,87.43
201.5,0,0,169.1,23.34,898,767.8,365,41.41
303,157.9,0,233.8,0.45,1062.7,936.6,28,53.3
175.9,0,84,134.5,22.04,809.6,802.3,180,59.56
392.3,122.9,0,177.9,29.87,1019.1,660.1,3,55.8
498.7,0,0,158.8,22.58,1031.4,596.7,28,94.23
480.5,143.5,0,238.9,13.39,858.1,650.8,365,67.08
314,93.1,0,143,2.16,824.9,821.8,56,71.16
475.5,64,0,235.9,26.96,950.3,759.8,28,70.53
530.6,37.5,0,201.3,29.11,949.5,694,3,62.18
309,12.9,0,186.5,2.01,949.5,979.8,14,45.04
358.2,0,0,147.7,26.82,959.4,937.7,365,81.86
153.1,24.2,0,233.5,20.96,1074,889.7,56,11.85
300.8,0,0,199,6.02,855.6,945.7,14,42.03
472.3,0,0,196.4,16.65,873.4,597.2,56,69.77
256.3,199.6,77.7,193.5,5.18,844.4,801.5,90,63.88
324.8,17.5,20.4,145.9,28.98,1001.2,642,7,63.2
406.4,20.7,0,196.4,17.31,987.1,804,56,75.65
306.5,111.5,0,214,25.73,962.2,728.7,28,68.31
424.5,71.8,0,164,4.73,830.1,814.1,14,63.6
408.1,0,66.9,226.4,22.22,1062.4,956.7,28,83.45
355.2,0,104.6,226.3,2.32,1037.7,634.8,56,56.03
376,183.8,0,239.6,3.21,1023.8,784.4,90,57.03
305.5,0,0,219.8,1.32,904.1,663.3,3,21.29
309,190.6,0,144.9,1.34,1140,706.2,7,62.54
514.6,0,156.6,151.3,14,1052.9,827.8,1,51.62
334.4,126.5,102,229.2,26.84,994.2,877.8,1,39.36
510.8,14.2,53.1,163.9,20.37,960.1,949,365,95
425.3,0,0,221.5,11.66,816.9,809.4,3,40.12
293.7,0,158,164.7,23.79,854,746.9,7,57.91
448.7,36,108.4,145.6,5.93,924.6,770.4,7,70.41
421.1,131.4,0,177.3,12.73,922.6,852.2,28,82.35
222.1,0,112.5,225.9,13.08,1115,955.1,90,41.78
313.5,0,100.4,130.3,12.26,807.2,592.5,7,63.38
152,0,0,134.9,9.63,1134.3,654.3,3,15.71
535.3,0,0,154.1,26.24,961.6,949.8,7,83.53
224.5,134.3,18,161.9,2.19,975.4,895.1,14,46.44
246.3,162.5,114.6,231,30.64,976.4,842.7,28,64.07
302.5,161.9,104.2,234.5,19.87,1007.3,828.6,7,57.71
489.5,177.7,43.4,151.2,4.66,866.2,627.7,56,95
389.2,171.9,0,160.8,3.79,1103.7,720.1,28,80.24
296,0,0,202.4,17.14,969.8,606.6,56,38.64
274.1,0,44.8,219.1,14.66,1112.1,730.2,7,29.89
521.4,0,0,170.2,10.04,926.2,843.6,28,82.56
280.4,0,0,193,29.08,802.7,977.6,365,57.19
486.6,102.8,0,210.4,1.01,975.7,793.9,28,71.87
457.5,136,43.5,150.3,5.23,987.8,726.6,28,90.6
175.1,0,181.9,137,4.78,1122.6,871,56,69.02
527.5,156.1,115.9,215.4,14.48,1057.2,902.3,365,95
532.9,0,0,140.6,10.13,853.7,855.8,3,62.68
199.7,108,55.4,206,16.83,903.4,628.2,365,47.66
343,149.8,0,233,21.46,1121.2,845.3,3,43.7
398.9,97.9,0,130,16.93,807.8,838.3,1,52.51
149.4,136.5,0,177.3,2.45,851.4,986.6,28,40.23
209.4,0,24.9,137.7,14.46,879.1,756.3,28,47.86
237.6,155.5,65.1,160,0.61,911.2,805.4,28,66.82
456.5,173.8,135.2,153.9,0.68,881,592,90,88.74
467.9,108.4,194.1,183.1,10.42,858.1,932.7,28,95
309.2,0,0,145,0.17,1081.2,654.6,14,58.55
196.1,158.9,0,206.5,29.56,975.1,593.7,28,49.09
481.1,0,158.1,179.9,19.43,1062.7,779,28,94.58
254.3,0,122.4,135.3,21.75,1133.8,666.1,14,74.2
468,69.1,0,214,5.84,868.4,618.2,14,59.03
197.7,7.1,174.8,163.2,3.37,877.5,709.3,56,55.63
180.7,0,0,198.4,31.54,1061.3,984.3,7,18.51
249.9,0,70,197.2,26.24,1085.2,897.3,365,60.71
420.9,0,0,188.7,23.8,923.6,942.9,28,77.63
293.9,14.3,0,225.9,3.71,906.5,600.4,1,17.67
481.2,0,0,211.7,15.96,994.7,608.6,90,67.6
355.5,180.4,167.5,135.9,14.37,803.9,877.5,56,95
272.6,95.6,131.7,197.2,9.55,1105.3,602.6,3,47.29
157.7,127.6,140.3,202.4,18.84,909.2,653.2,28,61.69
491.5,31.5,0,193.3,17.64,1120.2,633.1,90,80.57
445.5,183.4,0,136.4,14.71,967.7,661.9,180,95
505.4,131.4,90,135,0.4,866.5,876.8,28,95
491.3,0,0,152.7,27.7,822.7,781.4,28,95
476.6,0,0,231.6,7.18,1110.7,872.8,90,59.43
261.9,0,0,198.4,2.19,800.9,889.2,28,33.01
448.6,118.9,79.2,220.2,9.77,1133.6,633.5,180,70.27
449.1,0,0,146.2,16.95,858.9,717.6,365,93.04
494,0,119.2,239.6,4.66,920,731.7,7,57.36
529.9,0,183,136.9,12.17,984.3,634.5,1,52.28
418.8,170.7,0,176.5,2.74,1102.5,624.9,180,78.68
298.1,96.9,29.2,147.6,2.09,1026.8,624.5,180,70.58
233,14.5,131.8,217,0.24,917.3,846,28,46.6
287.5,0,177.2,237.1,19.38,961.1,739,3,35.63
526.2,169.3,0,160.6,8.74,977.9,858.6,28,95
322.5,92.3,157.8,160,17.27,1101.7,724.9,56,93.2
527.8,168.1,115,228.4,28.77,1081,819.3,3,54.24
369.9,0,0,154.9,5.34,1092.1,704,28,73.85
258.5,0,74.5,170.7,6.2,906.6,758.6,28,51.92
538.5,0,0,222.4,26.72,941.9,882,28,86.99
252.4,163.4,0,234.9,1.4,827.6,684.2,365,39.39
431.8,0,0,170.8,26.22,995.3,675,365,84.43
321.7,65.8,0,190.3,23.54,893.3,799.8,90,65.03
180.4,6.4,0,190.5,31.23,1026.7,869.1,56,30.09
358.5,0,117.4,162.2,13.08,813.7,983.7,3,53.22
245.8,91.5,46.3,170.1,26,987,942.9,180,74.8
496.2,140.6,0,213,15.74,873.8,703.3,56,83.97
154.8,0,0,176.2,8.67,912.9,764.7,3,12.29
285.8,150.7,160.1,134.4,7.44,919.9,722.3,7,71.24
403.2,0,0,138.6,5.01,948.1,610.8,28,70.95
442.2,0,0,204.4,27.13,1114.7,688.6,28,79.94
484,0,4.2,230.6,15.89,1131.1,964.2,28,76.08
197.9,130.4,193,234.4,16.58,1031.8,661.9,28,65.29
394.4,0,0,150.1,25.06,842.9,947.9,14,80.41
459.1,0,51.4,164.7,30.57,979.7,911.5,14,93.45
416,126.8,169.4,130.9,1.96,1084.6,591.4,90,95
422.7,0,3.4,230.8,14.17,988.1,684.7,365,56.17
205.1,0,0,166,19.92,915.2,829.7,90,39.88
212.6,0,0,189.8,25.41,986,783.9,7,31.32
402.9,147.5,166.6,204.1,14.76,1106.5,620,180,91.12
320.1,0,0,152.9,9.66,1132.9,733.2,3,37.37
529.8,35,0,141.6,30.89,893.2,597.6,28,95
517.7,176.8,0,204.5,8.93,1070.7,858.4,180,89.42
186,188.4,0,157,9.67,1026.9,962.1,14,59.34
165.4,142.1,0,197.2,14.4,1096.8,964.1,14,37.49
153.2,0,0,176.3,2.2,1030.1,599.3,28,14.69
319.6,0,163.6,209.8,19.36,1134.8,913.8,28,73.51
514.3,0,190.4,157.2,11.23,890.1,867.6,90,95
305.8,47.2,0,223.1,30.44,1046.3,857.8,180,58.23
530.2,0,0,196.8,28.88,837.9,876.4,365,95
347.7,77,0,141.7,13.09,1122.4,942.7,7,66.96
194.2,62.5,94.6,239.6,30.75,1031.6,691,28,43.28
396.3,70.4,0,151.3,3.46,1091.9,728.4,28,83.81
404.8,177.9,179.1,197.9,0.49,946.7,828.1,1,38.87
276.2,0,102.5,134.2,19.34,1003.8,905.5,14,79.37
144.6,143.8,0,173.9,20.91,991.4,683,28,43.17
446.3,59.6,0,207.9,29.14,1036.5,673.1,14,71.56
512.1,0,0,141.8,0.77,804.7,826.5,28,85.72
233.6,0,0,188.2,28.65,847.8,821.7,1,25.78
