borehole_id,site,total_depth_m,n_layers,top3m_avg_density_kg_m3,top3m_avg_vs_m_s,vs30_m_s,nehrp_class,clay_frac,sand_frac,gravel_frac,silt_frac
IND_Bala_2018_BH2,IND,16,12,1850,247.1,234.3,D,0.75,0.25,0,0
IND_Bala_2018_BH3,IND,16,12,1850,249.1,209.8,D,0.812,0.188,0,0
IND_Bala_2018_BH4,IND,16,12,2000,245.1,215.4,D,0.781,0.219,0,0
IND_Bala_2018_BH5,IND,16,12,1775,234.7,205.1,D,0.862,0.138,0,0
IND_Bala_2018_BH6,IND,16,12,1967.6,243,212.7,D,0.875,0.125,0,0
IND_Bala_2018_BH7,IND,16,9,1700,185.1,207.9,D,1,0,0,0
IND_Bala_2018_BH8,IND,16,11,1775,223.4,213.4,D,0.844,0.156,0,0
IND_Balk_2009_BH1,IND,25,14,1625,168.3,168.9,E,0,0,0,1
IND_Balk_2009_BH2,IND,25,13,1550,132.3,168.6,E,0,0,0,1
IND_Balk_2009_BH3,IND,30.45,20,1700,174,182.4,D,0,0.044,0,0.956
IND_Balk_2009_BH4,IND,25,17,1775,232.5,180.7,D,0.04,0.14,0,0.82
IND_Balk_2009a_BH1,IND,30.45,14,1550,144.4,154.3,E,0,0,0,1
IND_Balk_2009a_BH2,IND,30.45,20,1550,128.3,146.5,E,0,0,0,1
IND_Balk_2009a_BH3,IND,30.45,17,1550,122.9,141.8,E,0,0,0,1
IND_Balk_2009b_A1,IND,30,15,1700,177.5,179.4,E,0.633,0.167,0,0.2
IND_Balk_2009b_B1,IND,10,7,1625,160.7,136.3,E,0,0.25,0,0.75
IND_Balk_2009b_B2,IND,20,11,1550,112.9,183,D,0.65,0.075,0,0.275
IND_Balk_2009b_F1,IND,15,8,1550,123.7,165,E,0.667,0,0,0.333
IND_Balk_2009b_F2,IND,30,13,1700,181.1,162.1,E,0,0.15,0,0.85
IND_Balk_2009b_F3,IND,30,13,1700,181.1,189.8,D,0.767,0.167,0,0.067
IND_Balk_2009b_F4,IND,15,9,1700,181.1,186.4,D,0.7,0.3,0,0
IND_Balu_2004_BH4,IND,10,10,1775,199.1,203.2,D,0.385,0.592,0,0.023
IND_Bans_2007_BH3,IND,32,27,1935.3,175.3,249.6,D,0.109,0.831,0,0.059
IND_Bans_2007_BH5,IND,31,26,2000,187,282.6,D,0,0.984,0,0.016
IND_Bans_2007_BH8,IND,31,27,1547.1,255.8,280.5,D,0.065,0.839,0,0.097
IND_Batt_2005_BH1,IND,15.45,10,1625,159.4,195.3,D,0,0.479,0,0.521
IND_Batt_2005_BH2,IND,15.45,10,1700,174.5,197.3,D,0.194,0,0,0.806
IND_Batt_2005_BH3,IND,15.45,11,1625,152,167.4,E,0,0.243,0,0.757
IND_Bhat_2008_BH1,IND,20.26,15,1791.5,188.4,199.6,D,0,0.541,0,0.459
IND_Bhat_2008_BH2,IND,20.25,18,1700,169.8,203.4,D,0.06,0.541,0,0.399
IND_Biju_1000_BH1,IND,15,10,1700,152.6,149.9,E,0.727,0.083,0,0.19
IND_Biju_1000_BH2,IND,15,7,1775,196.5,150,E,0,0.267,0,0.733
IND_Biju_1000_BH3,IND,15,7,1775,198.8,184.4,D,0,1,0,0
IND_Biju_1000_BH4,IND,15,9,1787.5,198.3,188.9,D,0.437,0.563,0,0
IND_Biju_1000_BH5,IND,15,10,1775,212.7,169.9,E,0,0.183,0,0.817
IND_Bish_2007_BH1,IND,20,15,1850,281.9,254.9,D,0,0.788,0,0.212
IND_Bish_2007_BH2,IND,20,14,1850,241.4,252.4,D,0,0.86,0,0.14
IND_Bish_2007_BH3,IND,20,14,1550,144.4,230.3,D,0.28,0,0,0.72
IND_Bish_2007_BH4,IND,20,13,1775,186,237.3,D,0,0.875,0,0.125
IND_Bish_2007_BH5,IND,20,15,1700,186.3,234,D,0,0.95,0,0.05
IND_Chan_2007_BH4,IND,20,19,1996.5,220.3,259.5,D,0,0.928,0,0.072
IND_Chan_2007_BH5,IND,20,16,1922.4,180.4,226.4,D,0,0.692,0,0.308
IND_Chys_2015_BH1,IND,12,6,1907.6,204.5,174.1,E,0,0,0,1
IND_Chys_2015_BH2,IND,12,7,1882,132.3,155.6,E,0,0.092,0,0.908
IND_Chys_2015_BH3,IND,12,8,1904.1,172.8,172.6,E,0,0.333,0,0.667
IND_Chys_2015_BH4,IND,12,7,1917,132.3,164.3,E,0,0.108,0,0.892
IND_Chys_2015_BH5,IND,12,6,1828,163.9,164,E,0,0.125,0,0.875
IND_Dhap_2008_BH1,IND,35,17,1700,164,194.7,D,1,0,0,0
IND_Dhap_2008_BH2,IND,35,21,1850,232.2,204.1,D,0.943,0.057,0,0
IND_Dhap_2008_BH3,IND,35,20,1775,192.4,185.8,D,0.286,0,0,0.714
IND_Dhap_2008_BH4,IND,35,18,1700,164,199.3,D,0.743,0,0,0.257
IND_Dhap_2008_BH5,IND,35,23,1550,118.3,208.4,D,0.8,0.086,0,0.114
IND_Dhap_2008_BH6,IND,35,24,1550,140.8,205.2,D,0.814,0,0,0.186
IND_Dhap_2008_BH7,IND,35,23,1550,132.9,177,E,0,0.193,0,0.807
IND_Dhap_2008_BH8,IND,34.5,24,1700,188.7,192.7,D,0.232,0,0,0.768
IND_Dhap_2008_BH9,IND,35,22,1850,213.6,189.9,D,0,0.086,0,0.914
IND_Dhap_2009_BH1,IND,25,12,1850,248.4,262.7,D,0,0.988,0,0.012
IND_Dhap_2009_BH2,IND,25,12,1925,290.8,291.1,D,0.056,0.884,0,0.06
IND_Dhap_2009_BH3,IND,25,11,1775,216.5,250.6,D,0,0.8,0,0.2
IND_Dhap_2009_BH4,IND,25,13,1850,250.5,258.5,D,0,0.928,0,0.072
IND_Dhap_2009_BH5,IND,25,12,1850,265.9,275.5,D,0,0.956,0,0.044
IND_Dhob_1000_BH1,IND,5,3,1625,154.2,152.8,E,0,0,0,1
IND_Dhob_1000_BH2,IND,15,10,1625,146.6,158.7,E,0,0.163,0,0.837
IND_Dhob_1000_BH3,IND,25,4,1700,184.6,162.9,E,0,0.86,0,0.14
IND_Dhob_1000_BH4,IND,15,8,1625,143.6,166.7,E,0,0,0,1
IND_Dhob_1000_BH5,IND,15,9,1787.5,201.1,183.3,D,0,0.383,0,0.617
IND_Dhob_1000_BH7,IND,5,2,1625,161.8,166.4,E,0,0,0,1
IND_Dhum_2007_BH1,IND,20,15,1700,158.3,176.3,E,0,0.79,0,0.21
IND_Dhum_2007_BH2,IND,21,9,1550,128.3,176.4,E,0,0.657,0,0.343
IND_Dhum_2007_BH3,IND,20,10,1700,168.7,190.2,D,0,0.82,0,0.18
IND_Dill_2008_BH1,IND,20,12,1775,198.1,184.4,D,0,0.77,0,0.23
IND_Dill_2008_BH2,IND,20,14,1625,154.1,186,D,0,0.49,0,0.51
IND_Dill_2008_BH3,IND,20,12,1700,163,182.9,D,0,0.285,0,0.715
IND_Ghat_2009_BH1,IND,15,13,1700,174.8,196.6,D,0,0.607,0,0.393
IND_Ghat_2009_BH2,IND,15,9,1700,159.2,211.2,D,0,0.8,0,0.2
IND_Ghat_2009_BH3,IND,15,10,1700,191.9,227.2,D,0,0.9,0,0.1
IND_Goda_2018_BH1,IND,12,7,1914.7,185,225.9,D,1,0,0,0
IND_Goda_2018_BH2,IND,12,8,1900,188.6,215.6,D,1,0,0,0
IND_Goda_2018_BH3,IND,12,9,1920.6,165.2,205,D,0.792,0,0,0.208
IND_Gyan_2008_BH1,IND,15.45,15,1850,232.4,244.1,D,0.152,0.816,0,0.032
IND_Gyan_2008_BH2,IND,20,15,1775,187.4,236.8,D,0.242,0.64,0,0.118
IND_Hanu_1002_BH1,IND,20,13,1850,217.5,190.9,D,0,0.21,0,0.79
IND_Hanu_1002_BH2,IND,20,12,1775,203.3,185.4,D,0.725,0,0,0.275
IND_Hatt_1000_BH1,IND,20,14,1550,128.3,181.7,D,0,0.05,0,0.95
IND_Hatt_1000_BH2,IND,20,13,1700,176.4,200.7,D,0.15,0.1,0,0.75
IND_Hatt_1000_BH3,IND,20,13,1775,187.2,195.6,D,0,0.2,0,0.8
IND_Hatt_1000_BH4,IND,20,14,1775,219.1,190.6,D,0,0.275,0,0.725
IND_Hatt_1000_BH5,IND,20,12,1700,163,186.3,D,0,0.405,0,0.595
IND_Hatt_1000_BH6,IND,20,12,1700,184.3,182.9,D,0,0.325,0,0.675
IND_Jaga_2010_BH1,IND,16,10,1550,136.8,151.1,E,0,0.031,0,0.969
IND_Jaga_2010_BH2,IND,16,9,1700,163.8,155.3,E,0,0.188,0,0.812
IND_Kada_1000_BH1,IND,20,11,1775,187.2,235.1,D,0,1,0,0
IND_Kada_1000_BH10,IND,20,12,1850,214.8,248.4,D,0,1,0,0
IND_Kada_1000_BH2,IND,20,12,1850,235.7,268.7,D,0,1,0,0
IND_Kada_1000_BH3,IND,20,10,1700,185.1,233.9,D,0,1,0,0
IND_Kada_1000_BH4,IND,20,12,1850,220.3,259.9,D,0,1,0,0
IND_Kada_1000_BH5,IND,20,11,1850,258.4,246.1,D,0,0.775,0,0.225
IND_Kada_1000_BH6,IND,20,12,1850,238.9,259.6,D,0,1,0,0
IND_Kada_1000_BH7,IND,20,11,1775,191.3,252.2,D,0,1,0,0
IND_Kada_1000_BH8,IND,20,12,1775,205.6,239.9,D,0,1,0,0
IND_Kama_2008_BH1,IND,25,19,1700,178.3,253.8,D,0,0.912,0,0.088
IND_Kama_2008_BH2,IND,25,20,1850,206.4,249.5,D,0,0.844,0,0.156
IND_Kama_2008_BH3,IND,25,21,1625,150.6,226.2,D,0,0.748,0,0.252
IND_Kama_2008_BH4,IND,25,13,1625,133.6,152,E,0,0.02,0,0.98
IND_Kama_2008_BH5,IND,25,12,1700,172.1,158.8,E,0,0.06,0,0.94
IND_Kama_2008_BH6,IND,20,13,1625,148.6,151.2,E,0,0.1,0,0.9
IND_Kama_2008_BH7,IND,20,11,1625,153.2,154.5,E,0,0.1,0,0.9
IND_Kaus_2017_BH1,IND,15.5,31,1750,181.4,181.4,D,0,0.364,0,0.636
IND_Kaus_2017_BH2,IND,15.5,28,1550,118.4,156.6,E,0.315,0.11,0,0.575
IND_Kaus_2017_BH3,IND,10.5,30,1600,143.4,176.3,E,0.319,0.228,0,0.453
IND_Kote_2008_BH1,IND,35,21,1850,230.4,194.8,D,0,0.174,0,0.826
IND_Kote_2008_BH2,IND,35,24,1850,233.1,229.3,D,0.977,0,0,0.023
IND_Kote_2008_BH3,IND,35,22,1775,198.1,214.4,D,0.706,0.109,0,0.186
IND_Kote_2008_BH4,IND,35,22,1850,206.2,220.5,D,0.829,0.094,0,0.077
IND_Kote_2008_BH5,IND,35,22,1775,198.1,214.4,D,0.706,0.109,0,0.186
IND_Kule_2007_BH1,IND,20,14,1850,222.5,167.2,E,0,0.178,0,0.822
IND_Kule_2007_BH2,IND,20,9,1550,123.7,144.9,E,0,0,0,1
IND_Kule_2007_BH3,IND,20,14,1700,175.4,167.8,E,0.872,0.128,0,0
IND_Kupo_1000_BH1,IND,15,9,1700,188.4,197,D,0.8,0.2,0,0
IND_Kupo_1000_BH2,IND,12,4,1700,179.6,196.6,D,1,0,0,0
IND_Lazi_2008_BH3,IND,20,14,1625,164.8,254.2,D,0,0.838,0,0.162
IND_Lazi_2008_BH4,IND,19.5,11,1775,186.1,249.2,D,0,0.731,0,0.269
IND_Mach_2012_BH1,IND,15.45,2,1775,218.7,258.8,D,0,0,0,1
IND_Mach_2012_BH2,IND,15.45,4,1775,218.7,257.9,D,0,0,0,1
IND_Mach_2012_BH3,IND,15.45,3,1775,206.2,255.6,D,0,0,0,1
IND_Naxa_1000_BH1,IND,25,20,1775,211.9,240.4,D,0,0.854,0,0.146
IND_Naxa_1000_BH2,IND,25,20,1775,192.3,233.7,D,0,0.756,0,0.244
IND_Naxa_1000_BH3,IND,25,18,1700,166.9,250.1,D,0,0.812,0,0.188
IND_Pani_2008_BH1,IND,20,12,1627.5,161.1,213.7,D,0,0.65,0,0.35
IND_Pani_2008_BH2,IND,20,15,1627.5,156.4,241.8,D,0,0.8,0,0.2
IND_Pulc_2008_BH1,IND,25,15,1550,128.3,133.6,E,0.18,0,0,0.82
IND_Pulc_2008_BH2,IND,30.45,16,1775,188.6,147.6,E,0.263,0.066,0,0.672
IND_Pulc_2008_BH3,IND,25,13,1550,123.7,130.3,E,0,0,0,1
IND_Ravi_2008_BH1,IND,20,11,1550,118.3,111.7,E,0,0.015,0,0.985
IND_Ravi_2008_BH2,IND,20,11,1550,118.3,117.4,E,0,0,0,1
IND_Ravi_2008_BH3,IND,20,10,1550,118.3,117.3,E,0,0,0,1
IND_Ravi_2008_BH4,IND,40,7,1550,118.3,123.1,E,0,0,0,1
IND_Sane_1000_BH1,IND,15,8,1850,244.7,178.4,E,0,0.167,0,0.833
IND_Sane_1000_BH2,IND,15,10,1700,213.2,174.9,E,0,0.167,0,0.833
IND_Sane_1000_BH3,IND,17,10,1775,227.9,165.8,E,0,0.265,0,0.735
IND_Sane_1001_BH1,IND,20,10,1550,132.3,170.8,E,0.788,0.062,0,0.15
IND_Sane_1001_BH2,IND,20,10,1625,131.6,182.7,D,0.847,0,0,0.152
IND_Sane_1002_BH1,IND,20,10,1700,177.5,168.9,E,1,0,0,0
IND_Sane_1002_BH2,IND,20,9,1700,164,172,E,1,0,0,0
IND_Sane_2007_BH1,IND,15.45,8,1925.9,132.3,143.7,E,0,0,0,1
IND_Sane_2007_BH2,IND,15.45,8,1945.3,116,143.2,E,0,0,0,1
IND_Sane_2007_BH3,IND,15.45,7,1550,118.3,131.6,E,0,0,0,1
IND_Sane_2007_BH4,IND,15.45,8,1787.1,139.1,143.6,E,0,0.081,0,0.919
IND_Sane_2007_BH5,IND,15.45,7,1550,128.3,130.8,E,0,0,0,1
IND_Sane_2009_BH1,IND,25,10,1550,136.8,127.8,E,0,0,0,1
IND_Sane_2009_BH2,IND,25,12,1550,144.4,143,E,0,0,0,1
IND_Sane_2009_BH3,IND,25,10,1550,147.9,133.5,E,0,0,0,1
IND_Sane_2009_BH4,IND,25,9,1550,140.4,137.1,E,0,0,0,1
IND_Sane_2009_BH5,IND,25,10,1550,144.4,132.8,E,0,0,0,1
IND_Sane_2009a_BH1,IND,35,27,1640,155.9,155,E,0.466,0.129,0,0.406
IND_Sane_2009a_BH2,IND,35,21,1730,230.3,166.7,E,0.529,0,0,0.471
IND_Sane_2009a_BH3,IND,35,22,1730,228.3,158.8,E,0.486,0.166,0,0.349
IND_Sank_2008_BH1,IND,20,11,1700,182,135.8,E,0,0.12,0,0.88
IND_Sank_2008_BH2,IND,20,13,1775,187.4,166.5,E,0,0.105,0,0.895
IND_Sank_2008_BH3,IND,20,11,1775,207.8,168.3,E,0,0.15,0,0.85
IND_Sank_2008_BH4,IND,20,9,1775,190.4,166.1,E,0,0.1,0,0.9
IND_Sank_2008_BH5,IND,20,11,1700,166.7,148.9,E,0,0.075,0,0.925
IND_Sano_2008_BH1,IND,25,14,1700,172.2,223.3,D,0.12,0.78,0,0.1
IND_Sano_2008_BH2,IND,25,14,1625,166.5,235,D,0,1,0,0
IND_Sano_2008_BH3,IND,25,17,1775,196.5,240,D,0,1,0,0
IND_Sina_2006_BH1,IND,12.45,12,1946.5,152.8,160.5,E,0,0.41,0,0.59
IND_Sina_2006_BH2,IND,12.45,9,1992.9,216.1,182.5,D,0,0.233,0,0.767
IND_Sina_2006_BH3,IND,12.45,9,1775,208.7,197.4,D,0,0.478,0,0.522
IND_Sina_2006_BH4,IND,12.45,9,1775,190.9,166,E,0.751,0,0,0.249
IND_Sina_2006_BH5,IND,12.45,8,1923.5,182.7,174.4,E,0,0.124,0,0.876
IND_Solt_2007_BH1,IND,15,5,1550,125.3,116,E,0,0.107,0,0.893
IND_Solt_2007_BH2,IND,12,8,1550,118.5,119.7,E,0,0.133,0,0.867
IND_Solt_2007_BH3,IND,12,7,1550,106,112.7,E,0,0.062,0,0.938
IND_Solt_2007_BH4,IND,15,7,1550,106,112.7,E,0,0.033,0,0.967
IND_Solt_2007_BH5,IND,15,5,1550,99.2,111.2,E,0,0.033,0,0.967
IND_Solt_2008_BH1,IND,25.95,12,1625,147.6,182.7,D,0,0.019,0,0.981
IND_Solt_2008_BH2,IND,35,11,1700,168.3,190.4,D,0,0.014,0,0.986
IND_Solt_2008_BH3,IND,25.95,13,1700,168.3,190.5,D,0,0.058,0,0.942
IND_Solt_2008_BH4,IND,25.95,12,1700,165.8,191,D,0,0.019,0,0.981
IND_Solt_2008_BH5,IND,35,15,1700,168.3,188.8,D,0,0.014,0,0.986
IND_Solt_2008_BH6,IND,25.95,15,1700,170.8,192.2,D,0,0.01,0,0.99
IND_Solt_2008a_BH1,IND,15.45,7,1550,132.3,130.3,E,0,0,0,1
IND_Solt_2008a_BH2,IND,15.45,9,1550,106,135.6,E,0,0,0,1
IND_Solt_2008a_BH3,IND,15.45,7,1550,122.9,135.4,E,0,0,0,1
IND_Solt_2008a_BH4,IND,15.45,7,1550,122.9,126.6,E,0,0,0,1
IND_Solt_2008a_BH5,IND,15.45,10,1550,140.4,140.5,E,0,0,0,1
IND_Taha_2007_BH1,IND,15.45,10,1775,186.3,181.4,D,0,0,0,1
IND_Taha_2007_BH10,IND,15.45,12,1850,254,273.3,D,0,0.945,0,0.055
IND_Taha_2007_BH11,IND,19.95,14,1625,171.5,158,E,0,0.273,0,0.727
IND_Taha_2007_BH12,IND,19.95,15,1625,171.5,161.2,E,0,0.226,0,0.774
IND_Taha_2007_BH13,IND,19.95,13,1700,173.6,158.4,E,0,0.301,0,0.699
IND_Taha_2007_BH14,IND,19.95,12,1775,186,170.7,E,0,0.308,0,0.692
IND_Taha_2007_BH15,IND,15.45,11,1700,180.5,223.4,D,0,0.689,0,0.311
IND_Taha_2007_BH16,IND,15.45,11,1700,157.6,194.1,D,0,0.589,0,0.411
IND_Taha_2007_BH17,IND,15.45,13,1700,209.9,210.6,D,0,0.265,0,0.735
IND_Taha_2007_BH18,IND,19,18,1625,151.2,234.2,D,0,0.824,0,0.176
IND_Taha_2007_BH19,IND,20,14,1850,243.9,248.9,D,0,0.975,0,0.025
IND_Taha_2007_BH2,IND,15.45,7,1625,154.1,151.4,E,0,0,0,1
IND_Taha_2007_BH20,IND,20,13,1700,174.8,237,D,0,0.925,0,0.075
IND_Taha_2007_BH3,IND,15.45,7,1700,160.3,177.6,E,0,0,0,1
IND_Taha_2007_BH4,IND,15.45,8,1625,153.3,145.6,E,0,0,0,1
IND_Taha_2007_BH5,IND,15.45,9,1550,136.8,151,E,0,0,0,1
IND_Taha_2007_BH6,IND,15.45,11,1775,210.4,234.7,D,0,0.935,0,0.065
IND_Taha_2007_BH7,IND,15.45,10,1850,203.7,245.7,D,0,1,0,0
IND_Taha_2007_BH8,IND,15.45,11,1850,233.8,261,D,0,0.968,0,0.032
IND_Taha_2007_BH9,IND,15.45,10,1850,262.1,275.2,D,0,1,0,0
IND_Thad_2009_BH1,IND,30.45,18,1850,275.4,217.1,D,0,0.803,0,0.197
IND_Thad_2009_BH2,IND,30,15,1850,270.8,189.8,D,0,0.3,0,0.7
IND_Thad_2009_BH3,IND,30,19,1850,274.4,173.1,E,0,0.05,0,0.95
IND_Thad_2009_BH4,IND,30,19,1850,269.8,200.4,D,0,0.833,0,0.167
IND_Tokh_2007_BH1,IND,8.5,8,1850,227.4,260.5,D,0,1,0,0
IND_Tokh_2007_BH2,IND,8.5,8,1900,273.8,284.8,D,0,1,0,0
IND_Tokh_2007_BH3,IND,8.5,7,1900,247.1,258.3,D,0,1,0,0
IND_Tokh_2007_BH4,IND,8.5,8,1850,230.7,261.1,D,0,1,0,0
IND_Tokh_2007_BH5,IND,8.5,8,1850,241.9,267.3,D,0,1,0,0
IND_Unkn_1001_BH1,IND,12,10,1550,118.5,149.6,E,0,0.675,0,0.325
IND_Unkn_1001_BH2,IND,13,13,1600,129,164.6,E,0,0.558,0,0.442
IND_Unkn_1001_BH3,IND,11,13,1700,177.5,195.1,D,0.218,0.341,0,0.441
IND_Unkn_1001_BH4,IND,10.45,12,1700,163,186,D,0.254,0.746,0,0
IND_Unkn_1001_BH5,IND,10.5,15,1700,180.5,167.7,E,0.41,0.59,0,0
Koteshwor_BH1,Koteshwor,9,6,1625,132.7,142.1,E,0,0.333,0,0.667
Koteshwor_BH2,Koteshwor,9,5,1625,138.4,118,E,0,0.167,0,0.833
Koteshwor_BH3,Koteshwor,9,6,1550,125.3,118.4,E,0,0.167,0,0.833
Koteshwor_BH4,Koteshwor,9,5,1775,179.5,143.1,E,0,0.5,0,0.5
Kritipur_BH1,Kritipur,12,7,1700,172.8,185.2,D,1,0,0,0
Kritipur_BH2,Kritipur,13.5,9,1775,198.1,196.3,D,1,0,0,0
Kritipur_BH3,Kritipur,10.5,7,1700,181.1,179.8,E,1,0,0,0
Labali_Khola_BH1,Labali_Khola,19.5,10,1850,220.4,226.6,D,0.846,0.154,0,0
Labali_Khola_BH2,Labali_Khola,19.5,12,1700,184.3,224.4,D,1,0,0,0
Manikarnika_BH1,Manikarnika,19.5,12,1850,276.3,261.2,D,1,0,0,0
Manikarnika_BH2,Manikarnika,19.5,13,1850,268.4,248,D,1,0,0,0
Manohara_BH1,Manohara,28.5,18,1625,159.3,250.2,D,0.211,0.579,0,0.211
Manohara_BH2,Manohara,28.5,18,1700,183.5,256.8,D,0.316,0.526,0,0.158
Manohara_BH3,Manohara,28.5,19,1850,215.9,270.2,D,0.316,0.579,0,0.105
Manohara_BH4,Manohara,28.5,17,1700,177.6,264.1,D,0.211,0.579,0,0.211
Manohara_BH5,Manohara,28.5,18,1775,187,269,D,0.316,0.526,0,0.158
Manohara_BH6,Manohara,28.5,18,1700,188.2,260.2,D,0.211,0.579,0,0.211
Nagarkot_BH1,Nagarkot,9,6,1700,179.6,169.1,E,0,0.167,0,0.833
Nagarkot_BH2,Nagarkot,9,5,1850,203.7,209.5,D,0,1,0,0
Nagarkot_BH3,Nagarkot,9,6,1700,157.2,170.2,E,0,0.333,0,0.667
Nakhu_BH1,Nakhu,19.5,12,1775,190.9,179,E,0,0.308,0,0.692
Nakhu_BH2,Nakhu,19.5,10,1550,144.3,153.4,E,0,0.231,0,0.769
Naxal_BH1,Naxal,19,13,1650,158.1,227.3,D,0,0.711,0,0.289
Naxal_BH2,Naxal,19,13,1650,161.6,236.3,D,0,0.789,0,0.211
Naxal_BH3,Naxal,19,13,1700,163.5,233.6,D,0,0.711,0,0.289
NTC_BKT_BH1,NTC_BKT,14.5,10,1850,249.4,273.5,D,0,1,0,0
NTC_BKT_BH2,NTC_BKT,19,13,1850,248.5,277.1,D,0,1,0,0
NTC_BKT_BH3,NTC_BKT,19,13,1850,239.7,268.8,D,0,1,0,0
NTC_BKT_BH4,NTC_BKT,14.5,10,1850,250.5,275.3,D,0,1,0,0
NTC_BKT_BH5,NTC_BKT,14.5,10,1850,250.1,274.6,D,0,1,0,0
R_JICA_2002_BH1,R,30.01,38,1945.3,187.4,169.1,E,0.267,0.323,0,0.41
